StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q1,Q2,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q1,Q2,Q3,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q5_1,Q5_2,Q5_3,Q5_4
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Q_RecaptchaScore,Where do you usually do your grocery shopping? Select the store where you're most likely to shop.,"If you chose ""other"" in the previous question, could you let us know the main grocery store where you usually shop? Just list one store, please.",How much are you typically willing to spend each week on the following grocery category (in USD)? - Produce (i.e. apples or broccoli),"How much are you typically willing to spend each week on the following grocery category (in USD)? - Dairy (i.e. milk, yogurt, etc.)",How much are you typically willing to spend each week on the following grocery category (in USD)? - Grains and bread (i.e. white bread or rice),How much are you typically willing to spend each week on the following grocery category (in USD)? - Baking material (i.e. olive oil or sugar),How much are you typically willing to spend each week on the following grocery category (in USD)? - Drinks (ie. coffee or juice),How much are you typically willing to spend each week on the following grocery category (in USD)? - Protein (i.e. eggs or chicken),"How many times a week do you usually eat out? Please enter just a number (like 0, 1, 2, 3, etc.).","Which restaurant do you find yourself eating at the most, whether it’s dine-in or takeout?","If you selected ""other"" in the previous question, can you tell us the restaurant where you usually eat out, whether it's for dine-in or takeout? Just one restaurant, please.","Imagine it’s a Friday night, and you’re trying to decide where to eat out. How would you rank the following restaurants from (1) most likely to go to, to (5) least likely? - Koko","Imagine it’s a Friday night, and you’re trying to decide where to eat out. How would you rank the following restaurants from (1) most likely to go to, to (5) least likely? - Wings Over Ithaca","Imagine it’s a Friday night, and you’re trying to decide where to eat out. How would you rank the following restaurants from (1) most likely to go to, to (5) least likely? - Moosewood","Imagine it’s a Friday night, and you’re trying to decide where to eat out. How would you rank the following restaurants from (1) most likely to go to, to (5) least likely? - Thompson and Bleeker","Imagine it’s a Friday night, and you’re trying to decide where to eat out. How would you rank the following restaurants from (1) most likely to go to, to (5) least likely? - Pokelava","How much do you typically spend each week on the following menu item, whether you’re dining in or getting takeout (in USD)? - Appetizers","How much do you typically spend each week on the following menu item, whether you’re dining in or getting takeout (in USD)? - Entrees","How much do you typically spend each week on the following menu item, whether you’re dining in or getting takeout (in USD)? - Desserts","How much do you typically spend each week on the following menu item, whether you’re dining in or getting takeout (in USD)? - Non-alcoholic beverages"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID1""}","{""ImportId"":""QID5_TEXT""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID7_2""}","{""ImportId"":""QID7_3""}","{""ImportId"":""QID7_4""}","{""ImportId"":""QID7_5""}","{""ImportId"":""QID7_6""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11_TEXT""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID12_2""}","{""ImportId"":""QID12_3""}","{""ImportId"":""QID12_4""}","{""ImportId"":""QID12_5""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID13_2""}","{""ImportId"":""QID13_3""}","{""ImportId"":""QID13_4""}"
2024-10-27 22:42:20,2024-10-27 22:45:49,Survey Preview,100,209,True,2024-10-27 22:45:50,R_3giJh2POgzWjzqU,preview,EN,1,Other,"Shop Rite ",35,12,14,6,4,,0,Other,Chipotle,3,5,2,1,4,6,16,0,3
2024-10-28 11:28:19,2024-10-28 11:33:00,IP Address,100,281,True,2024-10-28 11:33:00,R_5CTL766pUu0VR18,anonymous,EN,1,Trader Joe's,,20,10,10,5,20,,1,Other,Fusia Bento Bar,4,1,3,5,2,0,15,,5
2024-10-28 11:44:03,2024-10-28 11:46:29,IP Address,100,145,True,2024-10-28 11:46:29,R_6eT42tg8hyZzLJT,anonymous,EN,1,Aldi's,,13,10,5,2,0,,1,Pokelava,,3,2,4,5,1,0,15,0,0
2024-10-28 11:58:36,2024-10-28 12:01:16,IP Address,100,160,True,2024-10-28 12:01:17,R_3fcyqSdws6FopKf,anonymous,EN,1,Aldi's,,20,6,10,10,1,,1,Other,Thai basil,3,2,4,5,1,1,15,1,0
2024-10-28 12:18:38,2024-10-28 12:24:10,IP Address,100,331,True,2024-10-28 12:24:10,R_5mdA0oHVJc77DS3,anonymous,EN,1,Aldi's,,7,10,7,5,10,,2,Other,7/11,5,1,2,3,4,,15,,4
2024-10-28 12:24:51,2024-10-28 12:27:23,IP Address,100,152,True,2024-10-28 12:27:24,R_6pnedWUc1Dr6gc2,anonymous,EN,1,Walmart,,15,5,12,8,5,,1,Other,Fusia Bento,3,1,5,4,2,5,20,8,4
2024-10-28 12:58:03,2024-10-28 13:00:44,IP Address,100,161,True,2024-10-28 13:00:45,R_7jTYfiWnlxcM6pt,anonymous,EN,1,Aldi's,,21,8,47,18,45,,0,Other,"I usually go to halal restaurants ",2,5,1,4,3,17,7,16,6
2024-10-28 13:01:22,2024-10-28 13:05:30,IP Address,100,248,True,2024-10-28 13:05:31,R_61nPlFEMeblHG5s,anonymous,EN,1,Walmart,Tops,60,32,61,14,36,,2,Other,Dos Amigos,2,1,5,3,4,72,23,50,14
